时间,操作,价格,数量,多头数量,多头均价,此次盈亏,总资金
2021-09-10 23:46:09,开始回测,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-01 10:01,BUY,8.969999999999999,1117.31843575419,1117.31843575419,8.95,0.0,10000.0
2021-09-01 10:23,SELL,8.89,1117.31843575419,0.0,0.0,-44.692737430166645,9955.307262569833
2021-09-01 10:26,BUY,8.93,1117.31843575419,1117.31843575419,8.91,0.0,9955.307262569833
2021-09-02 09:40,SELL,9.01,1117.31843575419,0.0,0.0,134.07821229050194,10089.385474860335
2021-09-02 09:41,BUY,9.03,1119.7986098624124,1119.7986098624124,9.01,0.0,10089.385474860335
2021-09-02 10:38,SELL,8.99,1119.7986098624124,0.0,0.0,0.0,10089.385474860335
2021-09-02 10:39,BUY,9.04,1118.5571479889506,1118.5571479889506,9.02,0.0,10089.385474860335
2021-09-03 13:33,SELL,9.0,1118.5571479889506,0.0,0.0,0.0,10089.385474860335
2021-09-03 13:34,BUY,9.049999999999999,1117.31843575419,1117.31843575419,9.03,0.0,10089.385474860335
2021-09-06 14:01,SELL,9.01,1117.31843575419,0.0,0.0,0.0,10089.385474860335
2021-09-06 14:03,BUY,9.049999999999999,1117.31843575419,1117.31843575419,9.03,0.0,10089.385474860335
2021-09-07 09:49,SELL,9.05,1117.31843575419,0.0,0.0,44.692737430168634,10134.078212290504
2021-09-07 09:53,BUY,9.09,1117.31843575419,1117.31843575419,9.07,0.0,10134.078212290504
2021-09-07 10:26,SELL,9.05,1117.31843575419,0.0,0.0,0.0,10134.078212290504
2021-09-07 10:28,BUY,9.08,1118.551679060762,1118.551679060762,9.06,0.0,10134.078212290504
2021-09-07 10:52,SELL,9.06,1118.551679060762,0.0,0.0,22.37103358121476,10156.449245871718
2021-09-07 10:53,BUY,9.1,1118.551679060762,1118.551679060762,9.08,0.0,10156.449245871718
2021-09-07 11:06,SELL,9.05,1118.551679060762,0.0,0.0,-11.18551679060738,10145.26372908111
2021-09-07 11:08,BUY,9.09,1118.551679060762,1118.551679060762,9.07,0.0,10145.26372908111
2021-09-07 13:57,SELL,9.06,1118.551679060762,0.0,0.0,11.18551679060738,10156.449245871718
2021-09-07 13:58,BUY,9.1,1118.551679060762,1118.551679060762,9.08,0.0,10156.449245871718
2021-09-07 14:23,SELL,9.06,1118.551679060762,0.0,0.0,0.0,10156.449245871718
2021-09-07 14:24,BUY,9.11,1117.3211491608051,1117.3211491608051,9.09,0.0,10156.449245871718
2021-09-07 14:40,SELL,9.06,1117.3211491608051,0.0,0.0,-11.173211491607812,10145.27603438011
2021-09-07 14:41,BUY,9.11,1116.0919729791099,1116.0919729791099,9.09,0.0,10145.27603438011
2021-09-08 09:31,SELL,9.05,1116.0919729791099,0.0,0.0,-22.32183945958172,10122.954194920527
2021-09-08 09:33,BUY,9.09,1116.0919729791099,1116.0919729791099,9.07,0.0,10122.954194920527
2021-09-08 10:52,SELL,9.09,1116.0919729791099,0.0,0.0,44.64367891916344,10167.59787383969
2021-09-08 10:53,BUY,9.12,1117.3184476746912,1117.3184476746912,9.1,0.0,10167.59787383969
2021-09-08 13:13,SELL,9.09,1117.3184476746912,0.0,0.0,11.173184476746675,10178.771058316437
2021-09-08 13:15,BUY,9.15,1114.8708716666415,1114.8708716666415,9.13,0.0,10178.771058316437
2021-09-08 14:08,SELL,9.14,1114.8708716666415,0.0,0.0,33.446126149998534,10212.217184466435
2021-09-08 14:12,BUY,9.2,1112.4419590922043,1112.4419590922043,9.18,0.0,10212.217184466435
2021-09-09 10:11,SELL,9.13,1112.4419590922043,0.0,0.0,-33.37325877276542,10178.84392569367
2021-09-09 10:13,BUY,9.18,1111.227502804986,1111.227502804986,9.16,0.0,10178.84392569367
2021-09-09 14:03,SELL,9.13,1111.227502804986,0.0,0.0,-11.112275028049623,10167.73165066562
2021-09-09 14:05,BUY,9.17,1111.2275028049858,1111.2275028049858,9.15,0.0,10167.73165066562
2021-09-10 10:56,SELL,9.1,1111.2275028049858,0.0,0.0,-33.33682508415084,10134.39482558147
2021-09-10 10:57,BUY,9.139999999999999,1111.2275028049858,1111.2275028049858,9.12,0.0,10134.39482558147
2021-09-10 13:36,SELL,9.14,1111.2275028049858,0.0,0.0,44.449100112200455,10178.84392569367
2021-09-10 13:38,BUY,9.17,1112.4419590922043,1112.4419590922043,9.15,0.0,10178.84392569367
